Num_Acc,annee,dep,lat,long,lum,atm,col,circ,nbv,prof,surf,infra,situ,vma,catv,mois,jour,target
202000000378,2020,34,43.324085,3.270707,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,10.0,6.0,25.0,0
202000000378,2020,34,43.324085,3.270707,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,10.0,6.0,25.0,1
202000000378,2020,34,43.324085,3.270707,3.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,130.0,10.0,6.0,25.0,1
202000000394,2020,33,44.87446,-0.63651,1.0,1.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,90.0,7.0,6.0,22.0,0
202000000394,2020,33,44.87446,-0.63651,1.0,1.0,6.0,3.0,4.0,1.0,1.0,2.0,1.0,90.0,7.0,6.0,22.0,1
202000000395,2020,59,50.5954427,3.1022917,1.0,1.0,6.0,3.0,2.0,1.0,1.0,0.0,1.0,70.0,33.0,6.0,23.0,1
202000000397,2020,94,48.77673,2.34629,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,90.0,7.0,6.0,23.0,1
202000000397,2020,94,48.77673,2.34629,2.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,2.0,90.0,7.0,6.0,23.0,0
202000000398,2020,92,48.8351971,2.1757242,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,24.0,1
202000000398,2020,92,48.8351971,2.1757242,1.0,1.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,24.0,0
202000000399,2020,78,48.864515,2.039377,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,24.0,0
202000000399,2020,78,48.864515,2.039377,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,24.0,1
202000000399,2020,78,48.864515,2.039377,1.0,1.0,2.0,3.0,4.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,24.0,0
202000000400,2020,93,48.96766,2.5108,1.0,1.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,23.0,0
202000000400,2020,93,48.96766,2.5108,1.0,1.0,2.0,3.0,7.0,1.0,1.0,0.0,1.0,110.0,7.0,6.0,23.0,1
202000000401,2020,95,48.98243,2.24115,1.0,1.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,23.0,1
202000000401,2020,95,48.98243,2.24115,1.0,1.0,3.0,3.0,6.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,23.0,0
202000000402,2020,93,48.87998,2.4758,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,22.0,0
202000000402,2020,93,48.87998,2.4758,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,22.0,1
202000000402,2020,93,48.87998,2.4758,1.0,1.0,4.0,3.0,8.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,22.0,0
202000000403,2020,94,48.8108627,2.4489179,1.0,1.0,,3.0,4.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,24.0,0
202000000403,2020,94,48.8108627,2.4489179,1.0,1.0,,3.0,4.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,24.0,1
202000000405,2020,988,-22.26076,166.44438,2.0,1.0,2.0,3.0,4.0,1.0,1.0,5.0,1.0,50.0,7.0,6.0,22.0,0
202000000405,2020,988,-22.26076,166.44438,2.0,1.0,2.0,3.0,4.0,1.0,1.0,5.0,1.0,50.0,7.0,6.0,22.0,1
202000000412,2020,972,14.61828,-61.03613,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,23.0,1
202000000412,2020,972,14.61828,-61.03613,1.0,1.0,2.0,1.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,6.0,23.0,0
202000000502,2020,31,43.57293,1.45228,1.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,10.0,17.0,0
202000000502,2020,31,43.57293,1.45228,1.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,10.0,17.0,1
202000000502,2020,31,43.57293,1.45228,1.0,1.0,4.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,7.0,10.0,17.0,0
202000000582,2020,13,43.29385,5.47194,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,10.0,10.0,19.0,0
202000000582,2020,13,43.29385,5.47194,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,10.0,10.0,19.0,1
202000000582,2020,13,43.29385,5.47194,1.0,2.0,2.0,3.0,3.0,1.0,1.0,0.0,1.0,90.0,10.0,10.0,19.0,0
202000000583,2020,33,44.953025,-0.4586,1.0,1.0,5.0,3.0,6.0,2.0,1.0,2.0,1.0,130.0,7.0,10.0,19.0,1
202000000583,2020,33,44.953025,-0.4586,1.0,1.0,5.0,3.0,6.0,2.0,1.0,2.0,1.0,130.0,7.0,10.0,19.0,1
202000000583,2020,33,44.953025,-0.4586,1.0,1.0,5.0,3.0,6.0,2.0,1.0,2.0,1.0,130.0,7.0,10.0,19.0,0
202000000584,2020,59,50.62898,2.958167,3.0,1.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,110.0,7.0,10.0,18.0,1
