id,name,set_name,set_release_date,rarity,hp,type,evolves_from,nb_attacks,is_holo,is_reverse,price_tcgplayer_low,price_tcgplayer_mid,price_tcgplayer_high,price_tcgplayer_market,price_cardmarket_low,price_cardmarket_trend,price_cardmarket_avg30,price_cardmarket_avg7,price_cardmarket_avg1,price_cardmarket_avg_sell,price_pricecharting,market_price,high_price,low_price,trend_price,year,rarity_encoded,set_age,price_range,hp_normalized,has_evolution,price_source_count,price_volatility,target
swshp-SWSH041,Flareon,SWSH Black Star Promos,2019/11/15,Promo,110.0,Fire,Eevee,2,1,0,5.15,8.0,61.55,8.14,1.0,5.99,4.8,7.04,9.0,4.86,,7.01,61.55,1.0,5.99,2019,2,5,60.55,0.2894736842105263,1,4,8.637660485021398,0
sm5-47,Luxio,Ultra Prism,2018/02/02,Uncommon,80.0,Lightning,Shinx,1,0,1,0.02,0.28,19.98,0.28,0.02,0.12,0.15,0.11,0.1,0.14,,0.2025,19.98,0.02,0.12,2018,2,6,19.96,0.21052631578947367,1,4,98.5679012345679,0
sm12-51,Sealeo,Cosmic Eclipse,2019/11/01,Uncommon,100.0,Water,Spheal,2,0,1,0.05,0.25,19.98,0.25,0.02,0.14,0.11,0.17,0.3,0.11,,0.195,19.98,0.02,0.14,2019,2,5,19.96,0.2631578947368421,1,4,102.35897435897436,0
bw5-42,Joltik,Dark Explorers,2012/05/09,Common,30.0,Lightning,,1,0,1,0.5,5.59,37.5,0.59,0.02,0.23,0.23,0.24,0.14,0.27,,1.6724999999999999,37.5,0.02,0.23,2012,1,12,37.48,0.07894736842105263,0,4,22.409566517189834,0
dp4-43,Linoone,Great Encounters,2008/02/01,Uncommon,80.0,Colorless,Zigzagoon,2,0,1,0.38,0.61,19.98,0.68,0.02,0.35,0.44,0.29,0.15,0.5,,0.52,19.98,0.02,0.35,2008,2,16,19.96,0.21052631578947367,1,4,38.38461538461539,0
xy1-48,Arbok,XY,2014/02/05,Rare,90.0,Psychic,Ekans,2,0,1,0.2,0.68,19.98,0.66,0.1,0.7,0.72,0.81,0.8,0.73,,0.7200000000000001,19.98,0.1,0.7,2014,3,10,19.88,0.23684210526315788,1,4,27.611111111111107,0
xy8-43,Vanillite,BREAKthrough,2015/11/04,Common,50.0,Water,,2,0,1,0.03,0.21,19.98,0.21,0.02,0.13,0.1,0.14,0.1,0.13,,0.17250000000000001,19.98,0.02,0.13,2015,1,9,19.96,0.13157894736842105,0,4,115.71014492753623,0
xy5-49,Clamperl,Primal Clash,2015/02/04,Common,50.0,Water,,1,0,1,0.01,0.22,19.98,0.17,0.02,0.13,0.1,0.1,0.04,0.11,,0.15,19.98,0.01,0.13,2015,1,9,19.97,0.13157894736842105,0,4,133.13333333333333,0
swsh4-45,Voltorb,Vivid Voltage,2020/11/13,Common,60.0,Lightning,,1,0,1,0.01,0.15,25.05,0.06,0.02,0.03,0.04,0.04,0.04,0.03,,0.06999999999999999,25.05,0.01,0.03,2020,1,4,25.04,0.15789473684210525,0,4,357.7142857142857,0
gym1-48,Erika's Weepinbell,Gym Heroes,2000/08/14,Uncommon,60.0,Grass,Erika's Bellsprout,2,0,0,,,,,1.1,6.58,5.28,6.52,14.25,5.92,,6.22,5.92,1.1,6.58,2000,2,24,4.82,0.15789473684210525,1,2,0.77491961414791,0
swsh3-44,Galarian Darmanitan,Darkness Ablaze,2020/08/14,Rare,140.0,Water,Galarian Darumaka,2,0,1,0.15,0.29,4.0,0.29,0.02,0.2,0.2,0.21,0.25,0.17,,0.24,4.0,0.02,0.2,2020,3,4,3.98,0.3684210526315789,1,4,16.583333333333332,0
bw2-42,Sigilyph,Emerging Powers,2011/08/31,Uncommon,90.0,Psychic,,2,0,1,0.1,0.25,19.98,0.22,0.02,0.1,0.13,0.08,0.02,0.09,,0.15999999999999998,19.98,0.02,0.1,2011,2,13,19.96,0.23684210526315788,0,4,124.75000000000003,0
ex16-41,Vigoroth,Power Keepers,2007/02/02,Uncommon,70.0,Colorless,Slakoth,1,0,1,0.39,0.65,19.98,0.8,0.02,0.24,0.59,0.49,0.22,0.31,,0.5625,19.98,0.02,0.24,2007,2,17,19.96,0.18421052631578946,1,4,35.48444444444445,0
sma-SV42,Swablu,Hidden Fates Shiny Vault,2019/08/23,Rare Shiny,50.0,Colorless,,2,1,0,4.0,5.04,51.97,4.54,1.95,2.97,2.97,2.59,3.29,3.03,,3.8,51.97,1.95,2.97,2019,6,5,50.019999999999996,0.13157894736842105,0,4,13.163157894736841,0
ecard3-15,Ledian,Skyridge,2003/05/12,Rare,70.0,Grass,Ledyba,2,0,1,11.64,15.99,129.73,10.36,0.97,0.27,7.21,2.91,2.79,2.99,,8.0625,129.73,0.97,0.27,2003,3,21,128.76,0.18421052631578946,1,4,15.970232558139534,0
neo3-44,Geodude,Neo Revelation,2001/09/21,Common,40.0,Fighting,,1,0,0,,,,,0.02,0.33,0.35,0.42,0.5,0.36,,0.39,0.36,0.02,0.33,2001,1,23,0.33999999999999997,0.10526315789473684,0,2,0.8717948717948717,0
swsh35-51,Full Heal,Champion's Path,2020/09/25,Uncommon,,,,0,0,1,0.01,0.15,1.99,0.14,0.02,0.04,0.04,0.05,0.04,0.04,,0.095,1.99,0.01,0.04,2020,2,4,1.98,,0,4,20.842105263157894,0
base6-44,Graveler,Legendary Collection,2002/05/24,Uncommon,60.0,Fighting,Geodude,2,0,1,0.59,1.42,19.98,1.43,0.1,1.24,0.96,0.64,0.35,0.65,,1.035,19.98,0.1,1.24,2002,2,22,19.88,0.15789473684210525,1,4,19.207729468599034,1
hgss2-48,Chinchou,HS—Unleashed,2010/05/12,Common,60.0,Lightning,,2,0,1,0.13,0.4,19.98,0.32,0.02,0.25,0.23,0.27,0.06,0.23,,0.305,19.98,0.02,0.25,2010,1,14,19.96,0.15789473684210525,0,4,65.44262295081968,0
ex4-50,Team Aqua's Corphish,Team Magma vs Team Aqua,2004/03/01,Common,40.0,Water,,1,0,1,0.5,0.93,19.76,0.85,0.05,0.25,0.33,0.29,0.3,0.25,,0.5800000000000001,19.76,0.05,0.25,2004,1,20,19.71,0.10526315789473684,0,4,33.98275862068965,0
xy1-49,Spoink,XY,2014/02/05,Common,60.0,Psychic,,1,0,1,0.03,0.24,19.98,0.17,0.02,0.13,0.09,0.11,0.1,0.17,,0.17250000000000001,19.98,0.02,0.13,2014,1,10,19.96,0.15789473684210525,0,4,115.71014492753623,0
ex2-42,Lileep,Sandstorm,2003/09/18,Uncommon,80.0,Grass,Root Fossil,2,0,1,0.53,1.16,19.98,1.16,0.02,0.58,0.59,0.51,0.4,0.61,,0.8599999999999999,19.98,0.02,0.58,2003,2,21,19.96,0.21052631578947367,1,4,23.2093023255814,0
sm1-47,Pyukumuku,Sun & Moon,2017/02/03,Uncommon,60.0,Water,,1,0,1,0.02,0.22,19.98,0.22,0.02,0.09,0.11,0.07,0.12,0.11,,0.15500000000000003,19.98,0.02,0.09,2017,2,7,19.96,0.15789473684210525,0,4,128.77419354838707,0
bw10-54,Archeops,Plasma Blast,2013/08/14,Rare Holo,120.0,Fighting,Archen,2,1,1,0.95,1.77,26.9,1.77,0.5,2.33,2.41,2.36,2.0,2.02,,1.98,26.9,0.5,2.33,2013,4,11,26.4,0.3157894736842105,1,4,13.333333333333332,1
swsh4-46,Electrode,Vivid Voltage,2020/11/13,Rare Holo,90.0,Lightning,Voltorb,1,1,1,0.08,0.31,999.99,0.27,0.05,0.36,0.43,0.48,0.05,0.42,,0.37,999.99,0.05,0.36,2020,4,4,999.94,0.23684210526315788,1,4,2702.540540540541,0
bw8-50,Joltik,Plasma Storm,2013/02/06,Common,40.0,Lightning,,1,0,1,0.4,0.69,19.98,0.68,0.02,0.21,0.45,0.38,0.2,0.37,,0.53,19.98,0.02,0.21,2013,1,11,19.96,0.10526315789473684,0,4,37.660377358490564,0
xy5-50,Huntail,Primal Clash,2015/02/04,Rare Holo,100.0,Water,Clamperl,2,1,1,0.34,0.96,19.98,1.08,0.7,1.83,1.67,1.88,1.45,2.2,,1.53,19.98,0.34,1.83,2015,4,9,19.64,0.2631578947368421,1,4,12.836601307189543,1
dp3-53,Kirlia,Secret Wonders,2007/11/01,Uncommon,80.0,Psychic,Ralts,2,0,1,0.8,1.29,96.38,1.36,0.02,8.72,4.38,1.95,7.95,8.83,,3.3575,96.38,0.02,8.72,2007,2,17,96.36,0.21052631578947367,1,4,28.699925539836187,1
pl4-51,Wormadam Trash Cloak,Arceus,2009/11/04,Uncommon,90.0,Metal,Burmy Trash Cloak,2,0,1,0.14,0.38,19.98,0.36,0.02,0.17,0.19,0.28,0.15,0.15,,0.2925,19.98,0.02,0.17,2009,2,15,19.96,0.23684210526315788,1,4,68.23931623931625,0
bw6-49,Drifloon,Dragons Exalted,2012/08/15,Common,60.0,Psychic,,1,0,1,0.1,0.33,1.49,0.33,0.02,0.13,0.17,0.19,0.1,0.19,,0.26,1.49,0.02,0.13,2012,1,12,1.47,0.15789473684210525,0,4,5.653846153846153,0
dp6-44,Victreebel,Legends Awakened,2008/08/01,Rare,120.0,Grass,Weepinbell,2,0,1,1.2,1.55,37.03,2.02,0.1,1.67,1.51,1.8,2.0,1.95,,1.83,37.03,0.1,1.67,2008,3,16,36.93,0.3157894736842105,1,4,20.18032786885246,0
xy7-50,Metagross,Ancient Origins,2015/08/12,Rare,150.0,Metal,Metang,2,0,1,0.4,2.4,96.95,3.11,0.2,2.42,2.16,2.37,2.74,2.14,,2.505,96.95,0.2,2.42,2015,3,9,96.75,0.39473684210526316,1,4,38.622754491017965,0
sm7-49,Chinchou,Celestial Storm,2018/08/03,Common,60.0,Lightning,,2,0,1,0.02,0.2,19.98,0.18,0.02,0.1,0.08,0.12,0.07,0.1,,0.15,19.98,0.02,0.1,2018,1,6,19.96,0.15789473684210525,0,4,133.0666666666667,0
ex5-43,Metang,Hidden Legends,2004/06/01,Uncommon,80.0,Psychic,Beldum,2,0,1,0.2,0.51,19.98,0.53,0.02,0.27,0.35,0.35,0.5,0.33,,0.43000000000000005,19.98,0.02,0.27,2004,2,20,19.96,0.21052631578947367,1,4,46.41860465116279,0
ex6-46,Poliwhirl,FireRed & LeafGreen,2004/09/01,Uncommon,80.0,Water,Poliwag,2,0,1,1.48,2.0,33.1,2.04,0.15,1.54,1.43,1.42,0.8,1.65,,1.7774999999999999,33.1,0.15,1.54,2004,2,20,32.95,0.21052631578947367,1,4,18.53727144866386,0
ex14-46,Bulbasaur,Crystal Guardians,2006/08/01,Common,50.0,Grass,,2,0,1,0.75,2.04,27.9,2.19,0.07,0.94,1.42,0.95,0.5,1.81,,1.7475000000000003,27.9,0.07,0.94,2006,1,18,27.83,0.13157894736842105,0,4,15.925608011444918,0
ex1-39,Manectric,Ruby & Sapphire,2003/07/01,Uncommon,70.0,Lightning,Electrike,2,0,1,0.95,1.49,24.9,1.57,0.08,1.19,1.17,1.3,1.95,0.96,,1.3299999999999998,24.9,0.08,1.19,2003,2,21,24.82,0.18421052631578946,1,4,18.66165413533835,0
dp7-41,Machoke,Stormfront,2008/11/01,Uncommon,80.0,Fighting,Machop,2,0,1,0.85,1.84,58.1,1.72,0.02,1.03,0.48,0.87,2.5,0.42,,1.2125,58.1,0.02,1.03,2008,2,16,58.08,0.21052631578947367,1,4,47.90103092783505,0
bw2-43,Gothita,Emerging Powers,2011/08/31,Common,60.0,Psychic,,2,0,1,0.08,0.35,19.98,0.39,0.02,0.11,0.12,0.14,0.05,0.14,,0.255,19.98,0.02,0.11,2011,1,13,19.96,0.15789473684210525,0,4,78.27450980392157,0
xy2-56,Sandile,Flashfire,2014/05/07,Common,70.0,Darkness,,1,0,1,0.01,0.2,19.98,0.16,0.02,0.06,0.08,0.03,0.02,0.06,,0.11249999999999999,19.98,0.01,0.06,2014,1,10,19.97,0.18421052631578946,0,4,177.51111111111112,0
sm6-45,Meowstic,Forbidden Light,2018/05/04,Rare,90.0,Psychic,Espurr,2,0,1,0.26,0.65,19.98,0.63,0.07,0.35,0.36,0.47,0.7,0.46,,0.5525,19.98,0.07,0.35,2018,3,6,19.91,0.23684210526315788,1,4,36.036199095022624,0
base2-41,Parasect,Jungle,1999/06/16,Uncommon,60.0,Grass,Paras,2,0,0,,,,,0.02,1.35,1.07,0.81,0.79,1.08,,0.9450000000000001,1.08,0.02,1.35,1999,2,25,1.06,0.15789473684210525,1,2,1.1216931216931216,1
neo4-49,Light Machoke,Neo Destiny,2002/02/28,Uncommon,80.0,Fighting,Machop,2,0,0,,,,,0.15,5.27,3.65,4.93,14.99,3.53,,4.2299999999999995,3.53,0.15,5.27,2002,2,22,3.38,0.21052631578947367,1,2,0.7990543735224587,1
bw11-53,Mewtwo,Legendary Treasures,2013/11/06,Rare Holo,120.0,Psychic,,2,1,1,16.22,75.0,238.51,18.68,9.0,15.18,14.93,15.88,9.99,19.37,,32.2325,238.51,9.0,15.18,2013,4,11,229.51,0.3157894736842105,0,4,7.120452958969983,0
sm4-41,Spoink,Crimson Invasion,2017/11/03,Common,50.0,Psychic,,1,0,1,0.01,0.17,19.98,0.08,0.02,0.12,0.08,0.11,0.08,0.11,,0.1175,19.98,0.01,0.12,2017,1,7,19.97,0.13157894736842105,0,4,169.95744680851064,0
sm5-48,Luxray,Ultra Prism,2018/02/02,Rare Holo,150.0,Lightning,Luxio,1,1,1,0.4,1.04,19.98,1.11,0.1,0.62,0.79,0.58,0.64,0.69,,0.8550000000000001,19.98,0.1,0.62,2018,4,6,19.88,0.39473684210526316,1,4,23.25146198830409,0
sm75-47,Kyurem,Dragon Majesty,2018/09/07,Rare Holo,130.0,Dragon,,2,1,1,0.25,0.67,2.0,0.73,0.2,0.68,0.82,0.69,0.3,0.81,,0.725,2.0,0.2,0.68,2018,4,6,1.8,0.34210526315789475,0,4,2.4827586206896552,0
sm10-41,Tentacruel,Unbroken Bonds,2019/05/03,Uncommon,100.0,Water,Tentacool,2,0,1,0.01,0.24,19.16,0.24,0.02,0.1,0.11,0.08,0.07,0.14,,0.175,19.16,0.01,0.1,2019,2,5,19.15,0.2631578947368421,1,4,109.42857142857143,0
xy11-52,Mankey,Steam Siege,2016/08/03,Common,60.0,Fighting,,2,0,1,0.01,0.2,5.0,0.17,0.02,0.05,0.06,0.05,0.03,0.05,,0.1175,5.0,0.01,0.05,2016,1,8,4.99,0.15789473684210525,0,4,42.468085106382986,0
bw3-46,Cofagrigus,Noble Victories,2011/11/16,Rare,90.0,Psychic,Yamask,2,0,1,1.47,2.02,34.99,2.27,0.19,0.65,1.02,0.67,0.4,0.68,,1.41,34.99,0.19,0.65,2011,3,13,34.800000000000004,0.23684210526315788,1,4,24.68085106382979,0
ecard3-16,Machamp,Skyridge,2003/05/12,Rare,120.0,Fighting,Machoke,2,0,1,35.0,49.4,494.5,33.9,1.99,7.54,9.46,9.63,19.95,6.64,,24.8925,494.5,1.99,7.54,2003,3,21,492.51,0.3157894736842105,1,4,19.785477553479964,0
neo1-45,Quagsire,Neo Genesis,2000/12/16,Uncommon,70.0,Water,Wooper,2,0,0,,,,,0.12,2.42,1.72,2.56,2.65,1.66,,2.11,1.66,0.12,2.42,2000,2,24,1.54,0.18421052631578946,1,2,0.7298578199052134,1
bw1-47,Zekrom,Black & White,2011/04/25,Rare Holo,130.0,Lightning,,2,1,1,4.39,6.75,51.9,6.67,0.15,2.22,2.06,1.93,1.48,2.27,,4.405,51.9,0.15,2.22,2011,4,13,51.75,0.34210526315789475,0,4,11.748013620885358,0
ex12-53,Geodude,Legend Maker,2006/02/01,Common,50.0,Fighting,,1,0,1,0.15,0.37,19.98,0.37,0.02,0.69,0.42,0.64,0.15,0.38,,0.44000000000000006,19.98,0.02,0.69,2006,1,18,19.96,0.13157894736842105,0,4,45.36363636363636,1
hgss3-48,Eevee,HS—Undaunted,2010/08/18,Common,50.0,Colorless,,2,0,1,0.7,3.55,31.78,3.36,0.02,0.8,0.84,0.97,1.0,0.91,,2.1975000000000002,31.78,0.02,0.8,2010,1,14,31.76,0.13157894736842105,0,4,14.452787258248009,0
g1-37,Meowstic-EX,Generations,2016/02/22,Rare Holo EX,160.0,Psychic,,1,1,0,2.17,5.0,39.25,5.12,1.19,4.2,4.09,4.47,6.33,4.1,,4.6725,39.25,1.19,4.2,2016,4,8,38.06,0.42105263157894735,0,4,8.145532370251471,0
dpp-DP49,Dialga,DP Black Star Promos,2007/05/01,Promo,100.0,Metal,,2,1,0,6.56,14.7,240.0,14.0,,,,,,,,14.35,240.0,6.56,14.35,2007,2,17,233.44,0.2631578947368421,0,2,16.26759581881533,0
dp2-44,Croconaw,Mysterious Treasures,2007/08/01,Uncommon,80.0,Water,Totodile,1,0,1,0.6,1.5,33.0,2.15,0.05,0.52,0.59,0.56,0.2,0.65,,1.2149999999999999,33.0,0.05,0.52,2007,2,17,32.95,0.21052631578947367,1,4,27.119341563786012,0
sm8-48,Heatran,Lost Thunder,2018/11/02,Rare Holo,140.0,Fire,,2,1,1,0.27,0.47,19.98,0.41,0.25,1.53,1.29,1.7,0.98,1.7,,1.07,19.98,0.25,1.53,2018,4,6,19.73,0.3684210526315789,0,4,18.439252336448597,1
gym2-53,Lt. Surge's Raticate,Gym Challenge,2000/10/16,Uncommon,60.0,Colorless,Lt. Surge's Rattata,2,0,0,,,,,0.7,3.21,2.75,2.94,2.2,3.04,,2.99,3.04,0.7,3.21,2000,2,24,2.34,0.15789473684210525,1,2,0.7826086956521738,0
dp1-51,Hippopotas,Diamond & Pearl,2007/05/01,Uncommon,60.0,Fighting,,2,0,1,0.09,0.29,19.98,0.29,0.02,0.19,0.16,0.17,0.05,0.17,,0.23,19.98,0.02,0.19,2007,2,17,19.96,0.15789473684210525,0,4,86.78260869565217,0
sma-SV43,Noibat,Hidden Fates Shiny Vault,2019/08/23,Rare Shiny,50.0,Colorless,,1,1,0,2.0,5.0,96.95,4.97,0.9,2.81,2.2,2.54,1.93,2.52,,3.7574999999999994,96.95,0.9,2.81,2019,6,5,96.05,0.13157894736842105,0,4,25.56220891550233,0
swsh1-51,Qwilfish,Sword & Shield,2020/02/07,Uncommon,90.0,Water,,1,0,1,0.01,0.15,19.98,0.08,0.02,0.12,0.1,0.17,0.12,0.07,,0.1175,19.98,0.01,0.12,2020,2,4,19.97,0.23684210526315788,0,4,169.95744680851064,0
xy3-39,Gothita,Furious Fists,2014/08/13,Common,50.0,Psychic,,2,0,1,0.05,0.25,5.0,0.24,0.02,0.14,0.09,0.08,0.14,0.07,,0.16,5.0,0.02,0.14,2014,1,10,4.98,0.13157894736842105,0,4,31.125000000000004,0
smp-SM40,Jangmo-o,SM Black Star Promos,2017/02/03,Promo,60.0,Dragon,,2,1,0,0.25,0.7,19.98,0.7,0.15,0.96,1.11,0.96,1.95,1.05,,0.8525,19.98,0.15,0.96,2017,2,7,19.830000000000002,0.15789473684210525,0,4,23.26099706744868,1
sm12-52,Walrein,Cosmic Eclipse,2019/11/01,Rare,160.0,Water,Sealeo,2,0,1,0.1,0.3,19.98,0.28,0.1,0.29,0.35,0.28,0.24,0.3,,0.29000000000000004,19.98,0.1,0.29,2019,3,5,19.88,0.42105263157894735,1,4,68.55172413793102,0
sm3-45,Eelektrik,Burning Shadows,2017/08/05,Uncommon,90.0,Lightning,Tynamo,1,0,1,0.01,0.2,19.98,0.12,0.02,0.08,0.08,0.09,0.07,0.09,,0.125,19.98,0.01,0.08,2017,2,7,19.97,0.23684210526315788,1,4,159.76,0
bw9-49,Sableye,Plasma Freeze,2013/05/08,Rare,70.0,Psychic,,2,0,1,2.0,3.69,44.3,3.69,0.15,0.97,1.06,1.27,0.5,1.5,,2.5374999999999996,44.3,0.15,0.97,2013,3,11,44.15,0.18421052631578946,0,4,17.399014778325125,0
neo3-45,Goldeen,Neo Revelation,2001/09/21,Common,40.0,Water,,1,0,0,,,,,0.02,1.24,0.85,1.94,1.71,0.68,,1.31,0.68,0.02,1.24,2001,1,23,0.66,0.10526315789473684,0,2,0.5038167938931297,0
base3-52,Omanyte,Fossil,1999/10/10,Common,40.0,Water,Mysterious Fossil,1,0,0,,,,,0.02,0.83,1.06,0.62,0.55,0.9,,0.76,0.9,0.02,0.83,1999,1,25,0.88,0.10526315789473684,1,2,1.1578947368421053,0
ex15-39,Smeargle δ,Dragon Frontiers,2006/11/01,Uncommon,60.0,Psychic,,2,0,1,0.9,1.91,53.0,1.82,0.02,1.0,1.1,0.97,0.1,1.23,,1.4825,53.0,0.02,1.0,2006,2,18,52.98,0.15789473684210525,0,4,35.73693086003372,0
sm35-40,Shining Mew,Shining Legends,2017/10/06,Rare Shining,30.0,Psychic,,2,1,0,115.0,164.99,796.46,130.44,23.5,71.91,74.64,92.69,40.0,75.97,,116.0225,796.46,23.5,71.91,2017,5,7,772.96,0.07894736842105263,0,4,6.662156047318409,0
bw7-52,Electrode,Boundaries Crossed,2012/11/07,Uncommon,80.0,Lightning,Voltorb,2,0,1,0.01,0.25,19.98,0.17,0.02,0.18,0.21,0.2,0.2,0.16,,0.195,19.98,0.01,0.18,2012,2,12,19.97,0.21052631578947367,1,4,102.4102564102564,0
col1-50,Riolu,Call of Legends,2011/02/09,Uncommon,50.0,Fighting,,1,0,1,0.15,0.36,19.98,0.37,0.02,0.74,0.54,0.91,0.7,0.27,,0.47750000000000004,19.98,0.02,0.74,2011,2,13,19.96,0.13157894736842105,0,4,41.80104712041884,1
xy4-45,Gourgeist,Phantom Forces,2014/11/05,Rare Holo,100.0,Psychic,Pumpkaboo,1,1,1,0.32,0.82,3.34,0.8,0.2,1.62,1.36,1.62,0.9,1.71,,1.2375,3.34,0.2,1.62,2014,4,10,3.1399999999999997,0.2631578947368421,1,4,2.537373737373737,1
xy9-42,Electabuzz,BREAKpoint,2016/02/03,Common,70.0,Lightning,,1,0,1,0.01,0.2,4.0,0.05,0.02,0.09,0.08,0.08,0.05,0.08,,0.10250000000000001,4.0,0.01,0.09,2016,1,8,3.99,0.18421052631578946,0,4,38.926829268292686,0
base6-45,Growlithe,Legendary Collection,2002/05/24,Uncommon,60.0,Fire,,1,0,1,2.0,2.14,31.1,2.64,0.2,1.96,1.92,1.97,4.9,2.13,,2.22,31.1,0.2,1.96,2002,2,22,30.900000000000002,0.15789473684210525,0,4,13.91891891891892,0
xy10-48,Hawlucha,Fates Collide,2016/05/02,Uncommon,70.0,Fighting,,2,0,1,0.03,0.2,19.98,0.17,0.02,0.17,0.12,0.13,0.05,0.15,,0.1625,19.98,0.02,0.17,2016,2,8,19.96,0.18421052631578946,0,4,122.83076923076923,0
swshp-SWSH042,Eevee,SWSH Black Star Promos,2019/11/15,Promo,60.0,Colorless,,2,1,0,5.54,12.16,65.85,10.62,1.8,7.85,7.79,8.63,7.5,8.65,,10.015,65.85,1.8,7.85,2019,2,5,64.05,0.15789473684210525,0,4,6.395406889665501,0
sm11-44,Tirtouga,Unified Minds,2019/08/02,Uncommon,100.0,Water,Unidentified Fossil,2,0,1,0.1,0.32,19.98,0.32,0.02,0.16,0.15,0.13,0.15,0.17,,0.23500000000000001,19.98,0.02,0.16,2019,2,5,19.96,0.2631578947368421,1,4,84.93617021276596,0
basep-47,Mew,Wizards Black Star Promos,1999/07/01,Promo,40.0,Psychic,,1,0,0,140.0,499.92,9999.0,127.66,59.9,101.94,87.05,82.5,55.0,87.22,,199.32500000000002,9999.0,59.9,101.94,1999,2,25,9939.1,0.10526315789473684,0,4,49.863790292236295,0
pl3-45,Solrock,Supreme Victors,2009/08/19,Rare,80.0,Psychic,,1,0,1,0.44,0.62,19.98,0.85,0.15,1.17,1.33,1.22,0.25,1.44,,1.0325,19.98,0.15,1.17,2009,3,15,19.830000000000002,0.21052631578947367,0,4,19.20581113801453,1
swsh2-44,Tympole,Rebel Clash,2020/05/01,Common,60.0,Water,,1,0,1,0.01,0.15,19.98,0.03,0.02,0.03,0.05,0.04,0.02,0.04,,0.065,19.98,0.01,0.03,2020,1,4,19.97,0.15789473684210525,0,4,307.2307692307692,0
ex3-48,Whiscash,Dragon,2003/11/24,Uncommon,90.0,Water,Barboach,2,0,1,5.0,7.61,88.8,6.74,0.25,3.82,3.35,4.11,3.0,4.81,,5.8175,88.8,0.25,3.82,2003,2,21,88.55,0.23684210526315788,1,4,15.22131499785131,0
ex11-48,Magneton,Delta Species,2005/10/31,Uncommon,80.0,Lightning,Magnemite,2,0,1,0.49,1.35,19.98,1.55,0.1,0.72,0.66,0.55,0.34,0.57,,1.0050000000000001,19.98,0.1,0.72,2005,2,19,19.88,0.21052631578947367,1,4,19.78109452736318,0
mcd11-12,Audino,McDonald's Collection 2011,2011/06/17,,80.0,Colorless,,1,1,0,2.02,4.22,100.0,4.16,0.05,2.9,1.73,2.51,1.0,1.91,,3.1999999999999997,100.0,0.05,2.9,2011,3,13,99.95,0.21052631578947367,0,4,31.234375000000004,0
hgss2-49,Horsea,HS—Unleashed,2010/05/12,Common,50.0,Water,,2,0,1,0.21,0.44,19.98,0.45,0.02,0.33,0.3,0.41,0.09,0.29,,0.39749999999999996,19.98,0.02,0.33,2010,1,14,19.96,0.13157894736842105,0,4,50.21383647798743,0
ecard2-23,Muk,Aquapolis,2003/01/15,Rare,70.0,Grass,Grimer,1,0,1,19.75,24.61,219.9,14.43,0.75,5.71,5.6,5.71,9.99,6.31,,12.765,219.9,0.75,5.71,2003,3,21,219.15,0.18421052631578946,1,4,17.16803760282021,0
sm115-51,Bill's Analysis,Hidden Fates,2019/08/23,Rare,,,,0,0,1,0.04,0.25,19.98,0.14,0.02,0.15,0.19,0.14,0.09,0.12,,0.1625,19.98,0.02,0.15,2019,3,5,19.96,,0,4,122.83076923076923,0
sm2-49,Slowbro,Guardians Rising,2017/05/05,Uncommon,110.0,Psychic,Slowpoke,2,0,1,0.01,0.44,4.0,0.44,0.02,0.09,0.11,0.08,0.19,0.12,,0.27,4.0,0.01,0.09,2017,2,7,3.99,0.2894736842105263,1,4,14.777777777777777,0
ex10-48,Smeargle,Unseen Forces,2005/08/01,Uncommon,50.0,Colorless,,1,0,1,2.4,5.0,35.3,2.34,0.06,0.87,1.07,1.0,0.58,1.05,,2.3475,35.3,0.06,0.87,2005,2,19,35.239999999999995,0.13157894736842105,0,4,15.011714589989348,0
swsh35-52,Great Ball,Champion's Path,2020/09/25,Uncommon,,,,0,0,1,0.01,0.16,19.98,0.11,0.02,0.12,0.08,0.09,0.05,0.11,,0.1175,19.98,0.01,0.12,2020,2,4,19.97,,0,4,169.95744680851064,0
base4-49,Machoke,Base Set 2,2000/02/24,Uncommon,80.0,Fighting,Machop,2,0,0,0.19,0.61,501.5,0.75,0.08,0.6,0.59,0.59,0.48,0.6,,0.6375,501.5,0.08,0.6,2000,2,24,501.42,0.21052631578947367,1,4,786.5411764705883,0
ex7-48,Seadra,Team Rocket Returns,2004/11/01,Uncommon,70.0,Water,Horsea,2,0,1,1.45,2.91,40.5,2.91,0.99,2.79,2.17,2.21,3.49,1.26,,2.3225,40.5,0.99,2.79,2004,2,20,39.51,0.18421052631578946,1,4,17.01184068891281,1
base5-47,Magikarp,Team Rocket,2000/04/24,Uncommon,30.0,Water,,2,0,0,,,,,0.05,4.08,3.16,2.9,2.41,4.64,,3.7699999999999996,4.64,0.05,4.08,2000,2,24,4.59,0.07894736842105263,0,2,1.217506631299735,0
ex13-49,Pidgeotto δ,Holon Phantoms,2006/05/01,Uncommon,70.0,Lightning,Pidgey,1,0,1,1.75,2.99,33.1,2.76,0.2,1.66,2.61,1.63,2.25,1.6,,2.245,33.1,0.2,1.66,2006,2,18,32.9,0.18421052631578946,1,4,14.65478841870824,0
neo2-41,Kakuna,Neo Discovery,2001/06/01,Uncommon,70.0,Grass,Weedle,1,0,0,,,,,0.02,1.02,0.66,1.0,1.99,0.65,,0.825,0.65,0.02,1.02,2001,2,23,0.63,0.18421052631578946,1,2,0.7636363636363637,1
