id,name,set_name,set_release_date,rarity,hp,type,evolves_from,nb_attacks,is_holo,is_reverse,price_tcgplayer_low,price_tcgplayer_mid,price_tcgplayer_high,price_tcgplayer_market,price_cardmarket_low,price_cardmarket_trend,price_cardmarket_avg30,price_cardmarket_avg7,price_cardmarket_avg1,price_cardmarket_avg_sell,price_pricecharting,market_price,high_price,low_price,trend_price,year,rarity_encoded,set_age,price_range,hp_normalized,has_evolution,price_source_count,price_volatility,target
sm7-71,Onix,Celestial Storm,2018/08/03,Common,100.0,Fighting,,2,0,1,0.04,0.23,19.98,0.21,0.02,0.09,0.09,0.12,0.08,0.1,,0.165,19.98,0.02,0.09,2018,1,6,19.96,0.2631578947368421,0,4,120.96969696969697,0
sm8-68,Mareanie,Lost Thunder,2018/11/02,Common,50.0,Water,,1,0,1,0.04,0.21,19.98,0.16,0.02,0.06,0.07,0.05,0.1,0.04,,0.11499999999999999,19.98,0.02,0.06,2018,1,6,19.96,0.13157894736842105,0,4,173.56521739130437,0
gym2-74,Giovanni's Meowth,Gym Challenge,2000/10/16,Common,50.0,Colorless,,2,0,0,,,,,0.1,1.97,1.49,2.08,4.85,1.45,,1.7650000000000001,1.45,0.1,1.97,2000,1,24,1.3499999999999999,0.13157894736842105,0,2,0.7648725212464588,1
col1-72,Tangela,Call of Legends,2011/02/09,Common,70.0,Grass,,2,0,1,0.1,0.32,19.98,0.34,0.02,1.43,0.73,0.43,0.65,1.36,,0.6125,19.98,0.02,1.43,2011,1,13,19.96,0.18421052631578946,0,4,32.587755102040816,1
xy9-63,Skrelp,BREAKpoint,2016/02/03,Common,50.0,Psychic,,1,0,1,0.03,0.2,19.98,0.07,0.02,0.05,0.08,0.05,0.02,0.07,,0.0975,19.98,0.02,0.05,2016,1,8,19.96,0.13157894736842105,0,4,204.71794871794873,0
bwp-BW60,Keldeo,BW Black Star Promos,2011/03/01,Promo,90.0,Water,,2,1,0,2.49,6.54,104.0,6.54,0.99,4.88,3.53,5.87,2.99,2.99,,5.485,104.0,0.99,4.88,2011,2,13,103.01,0.23684210526315788,0,4,18.780309936189607,0
ex6-68,Magnemite,FireRed & LeafGreen,2004/09/01,Common,50.0,Lightning,,2,0,1,0.05,0.3,20.3,0.27,0.02,0.21,0.25,0.23,0.36,0.19,,0.2475,20.3,0.02,0.21,2004,1,20,20.28,0.13157894736842105,0,4,81.93939393939394,0
swshp-SWSH066,Charizard,SWSH Black Star Promos,2019/11/15,Promo,170.0,Fire,Charmeleon,1,1,0,445.99,606.83,9999.99,563.65,47.0,93.88,77.6,76.99,149.99,70.45,,329.48,9999.99,47.0,93.88,2019,2,5,9952.99,0.4473684210526316,1,4,30.20817652057788,0
bw2-63,Terrakion,Emerging Powers,2011/08/31,Rare Holo,120.0,Fighting,,2,1,1,0.75,1.51,19.98,1.74,0.09,1.76,1.34,1.29,0.28,1.75,,1.5725,19.98,0.09,1.76,2011,4,13,19.89,0.3157894736842105,0,4,12.64864864864865,1
ex1-61,Numel,Ruby & Sapphire,2003/07/01,Common,50.0,Fire,,2,0,1,0.25,0.84,19.98,0.85,0.02,0.31,0.24,0.29,0.65,0.24,,0.5549999999999999,19.98,0.02,0.31,2003,1,21,19.96,0.13157894736842105,0,4,35.96396396396397,0
ex14-67,Treecko,Crystal Guardians,2006/08/01,Common,40.0,Grass,,2,0,1,0.25,0.71,19.98,0.77,0.02,0.3,0.22,0.2,0.27,0.22,,0.475,19.98,0.02,0.3,2006,1,18,19.96,0.10526315789473684,0,4,42.021052631578954,0
